i	j	iLIS_best	iLIS_avg	ipTM_best	src
116	166	0.359	0.133	0.51	1
43	235	0.359	0.219	0.43	1
39	199	0.358	0.102	0.34	1
175	215	0.358	0.279	0.60	1
39	85	0.358	0.254	0.34	1
76	50	0.357	0.308	0.47	1
79	242	0.357	0.312	0.49	1
125	122	0.357	0.336	0.73	1
104	194	0.357	0.341	0.40	1
211	171	0.357	0.113	0.39	1
154	199	0.356	0.215	0.29	1
119	145	0.356	0.195	0.40	1
32	179	0.356	0.262	0.59	1
238	127	0.356	0.196	0.41	1
10	176	0.356	0.296	0.52	1
114	134	0.355	0.071	0.42	1
5	177	0.354	0.084	0.43	1
10	151	0.354	0.121	0.64	1
153	126	0.354	0.158	0.59	1
131	134	0.354	0.086	0.57	1
129	122	0.353	0.295	0.56	1
128	121	0.353	0.313	0.66	1
151	182	0.353	0.243	0.65	1
66	236	0.352	0.249	0.50	1
0	119	0.352	0.259	0.42	1
175	213	0.352	0.150	0.50	1
145	37	0.352	0.168	0.45	1
202	139	0.351	0.159	0.55	1
105	176	0.351	0.278	0.51	1
25	117	0.351	0.144	0.41	1
150	156	0.351	0.244	0.63	1
39	70	0.351	0.141	0.21	1
131	53	0.351	0.170	0.67	1
115	179	0.351	0.184	0.59	1
78	87	0.351	0.220	0.44	1
114	182	0.350	0.235	0.53	1
128	105	0.350	0.086	0.51	1
127	18	0.350	0.285	0.47	1
219	142	0.350	0.092	0.60	1
114	145	0.350	0.200	0.44	1
174	18	0.349	0.127	0.28	1
126	208	0.349	0.088	0.56	1
145	251	0.348	0.169	0.32	1
127	220	0.348	0.313	0.52	1
7	189	0.348	0.250	0.72	1
220	122	0.348	0.163	0.60	1
174	151	0.348	0.172	0.66	1
8	117	0.348	0.268	0.34	1
135	32	0.347	0.133	0.44	1
193	244	0.347	0.069	0.74	1
2	85	0.346	0.069	0.53	1
124	122	0.346	0.306	0.67	1
114	171	0.346	0.151	0.43	1
12	240	0.346	0.069	0.63	1
75	16	0.346	0.131	0.41	1
135	140	0.346	0.194	0.55	1
32	180	0.346	0.133	0.46	1
151	139	0.346	0.116	0.67	1
45	20	0.345	0.176	0.46	1
115	182	0.345	0.073	0.48	1
117	182	0.345	0.301	0.53	1
2	115	0.345	0.153	0.44	1
7	36	0.345	0.230	0.74	1
108	114	0.344	0.254	0.63	1
101	194	0.344	0.332	0.35	1
125	220	0.344	0.138	0.57	1
166	177	0.343	0.087	0.47	1
105	50	0.343	0.221	0.39	1
178	203	0.343	0.236	0.38	1
0	144	0.343	0.070	0.41	1
11	176	0.342	0.161	0.36	1
22	27	0.342	0.176	0.54	1
211	245	0.342	0.266	0.52	1
212	151	0.342	0.068	0.69	1
231	129	0.342	0.118	0.64	1
105	148	0.341	0.092	0.37	1
132	202	0.341	0.325	0.63	1
237	235	0.341	0.296	0.69	1
39	50	0.341	0.272	0.35	1
244	38	0.340	0.199	0.60	1
15	132	0.340	0.145	0.67	1
104	152	0.340	0.325	0.38	1
139	156	0.340	0.175	0.48	1
194	187	0.340	0.231	0.44	1
114	158	0.340	0.226	0.41	1
22	203	0.339	0.262	0.45	1
123	130	0.339	0.209	0.70	1
49	198	0.339	0.134	0.42	1
78	213	0.339	0.121	0.57	1
210	10	0.338	0.164	0.35	1
9	127	0.338	0.305	0.48	1
211	176	0.338	0.148	0.25	1
184	178	0.338	0.302	0.58	1
8	115	0.338	0.209	0.31	1
151	133	0.338	0.292	0.64	1
166	18	0.338	0.118	0.64	1
38	133	0.338	0.068	0.48	1
133	122	0.337	0.172	0.61	1
233	144	0.337	0.067	0.50	1
202	140	0.337	0.159	0.55	1
104	101	0.337	0.309	0.39	1
211	117	0.336	0.084	0.24	1
134	203	0.336	0.169	0.41	1
92	66	0.336	0.180	0.48	1
34	135	0.336	0.235	0.39	1
211	207	0.336	0.212	0.42	1
50	109	0.335	0.188	0.63	1
193	186	0.335	0.218	0.66	1
131	139	0.335	0.118	0.57	1
114	20	0.335	0.067	0.50	1
1	68	0.335	0.198	0.57	1
127	187	0.335	0.166	0.36	1
179	182	0.335	0.148	0.53	1
0	189	0.334	0.076	0.33	1
80	189	0.334	0.268	0.66	1
38	70	0.334	0.270	0.53	1
22	211	0.334	0.144	0.36	1
111	239	0.333	0.126	0.83	1
7	115	0.333	0.168	0.67	1
25	85	0.333	0.089	0.50	1
127	175	0.333	0.105	0.51	1
17	66	0.333	0.083	0.60	1
211	187	0.333	0.157	0.32	1
10	37	0.333	0.209	0.42	1
238	148	0.333	0.177	0.40	1
45	151	0.333	0.067	0.65	1
105	189	0.332	0.225	0.47	1
78	49	0.332	0.198	0.51	1
124	164	0.332	0.076	0.51	1
105	177	0.332	0.208	0.48	1
45	116	0.332	0.255	0.49	1
114	27	0.332	0.234	0.59	1
119	179	0.332	0.252	0.62	1
21	213	0.332	0.085	0.41	1
13	249	0.332	0.128	0.52	1
36	179	0.331	0.259	0.64	1
79	213	0.331	0.086	0.46	1
108	127	0.331	0.256	0.63	1
78	9	0.331	0.066	0.26	1
143	56	0.331	0.121	0.77	1
121	132	0.330	0.315	0.65	1
7	235	0.329	0.168	0.58	1
3	71	0.329	0.256	0.47	1
211	151	0.328	0.196	0.52	1
121	133	0.328	0.198	0.58	1
171	179	0.328	0.176	0.57	1
121	126	0.327	0.206	0.68	1
57	115	0.327	0.171	0.55	1
171	115	0.327	0.165	0.41	1
49	133	0.327	0.286	0.45	1
15	215	0.327	0.146	0.59	1
181	180	0.327	0.130	0.45	1
242	180	0.326	0.094	0.50	1
170	24	0.325	0.116	0.50	1
135	158	0.325	0.278	0.42	1
186	133	0.325	0.156	0.73	1
131	121	0.325	0.274	0.63	1
126	120	0.324	0.211	0.74	1
7	79	0.324	0.246	0.74	1
245	83	0.324	0.146	0.54	1
2	163	0.324	0.249	0.65	1
136	31	0.323	0.172	0.55	1
105	37	0.323	0.194	0.44	1
232	187	0.323	0.065	0.52	1
134	32	0.323	0.108	0.40	1
37	203	0.323	0.170	0.41	1
157	150	0.323	0.137	0.61	1
18	187	0.323	0.187	0.37	1
119	135	0.322	0.136	0.41	1
10	190	0.322	0.228	0.35	1
120	130	0.322	0.263	0.63	1
119	18	0.321	0.121	0.40	1
210	127	0.321	0.171	0.47	1
119	210	0.321	0.105	0.38	1
137	114	0.320	0.084	0.33	1
174	11	0.320	0.212	0.26	1
1	22	0.320	0.284	0.45	1
16	149	0.320	0.082	0.46	1
137	203	0.320	0.159	0.46	1
185	178	0.320	0.289	0.58	1
38	85	0.320	0.118	0.34	1
0	187	0.319	0.117	0.37	1
34	115	0.319	0.167	0.30	1
19	100	0.319	0.202	0.53	1
45	153	0.319	0.064	0.55	1
38	199	0.319	0.155	0.34	1
36	156	0.318	0.223	0.47	1
8	136	0.318	0.165	0.37	1
49	154	0.318	0.177	0.38	1
0	190	0.318	0.280	0.35	1
39	86	0.318	0.172	0.33	1
178	179	0.317	0.181	0.52	1
76	178	0.317	0.211	0.41	1
114	179	0.317	0.182	0.65	1
116	179	0.317	0.189	0.57	1
180	182	0.316	0.175	0.48	1
244	115	0.316	0.117	0.64	1
116	186	0.316	0.118	0.68	1
74	227	0.316	0.155	0.66	1
217	85	0.316	0.072	0.61	1
57	159	0.316	0.208	0.41	1
212	20	0.315	0.067	0.53	1
83	156	0.315	0.256	0.55	1
120	164	0.315	0.280	0.69	1
